user_id,signup_feedback,sentiment_label
1001,App froze during document upload,negative
1002,The verification process is confusing,negative
1003,The instructions were unclear,negative
1004,I want an easier way to transfer money,neutral
1005,The app was very easy to use,positive
1006,I am exploring different payment apps,neutral
1007,Everything worked smoothly,positive
1008,I want an easier way to transfer money,neutral
1009,Everything worked smoothly,positive
1010,The instructions were unclear,negative
1011,App froze during document upload,negative
1012,The signup process was easy,positive
1013,The verification process is confusing,negative
1014,Everything worked smoothly,positive
1015,I had trouble linking my bank,negative
1016,The app was very easy to use,positive
1017,I want an easier way to transfer money,neutral
1018,I am trying this app for the first time,neutral
1019,The signup process was easy,positive
1020,I want an easier way to transfer money,neutral
1021,I had trouble linking my bank,negative
1022,I want an easier way to transfer money,neutral
1023,I signed up to manage my spending,neutral
1024,The app was very easy to use,positive
1025,I am exploring different payment apps,neutral
1026,I am trying this app for the first time,neutral
1027,The instructions were unclear,negative
1028,I want to send money internationally,neutral
1029,I am exploring different payment apps,neutral
1030,I signed up to manage my spending,neutral
1031,I want to send money internationally,neutral
1032,Verification was straightforward,positive
1033,Fast and simple onboarding,positive
1034,The app was very easy to use,positive
1035,I want to send money internationally,neutral
1036,Everything worked smoothly,positive
1037,Everything worked smoothly,positive
1038,I signed up to manage my spending,neutral
1039,Everything worked smoothly,positive
1040,I want to send money internationally,neutral
1041,I want to send money internationally,neutral
1042,I am trying this app for the first time,neutral
1043,Verification was straightforward,positive
1044,The signup process was easy,positive
1045,I am exploring different payment apps,neutral
1046,I want an easier way to transfer money,neutral
1047,Everything worked smoothly,positive
1048,I signed up to manage my spending,neutral
1049,Everything worked smoothly,positive
1050,I want an easier way to transfer money,neutral
1051,I am trying this app for the first time,neutral
1052,I am trying this app for the first time,neutral
1053,I want to send money internationally,neutral
1054,I am trying this app for the first time,neutral
1055,I had trouble linking my bank,negative
1056,I signed up to manage my spending,neutral
1057,The signup process was easy,positive
1058,The app was very easy to use,positive
1059,Verification was straightforward,positive
1060,I signed up to manage my spending,neutral
1061,I want an easier way to transfer money,neutral
1062,App froze during document upload,negative
1063,I signed up to manage my spending,neutral
1064,Verification was straightforward,positive
1065,I am exploring different payment apps,neutral
1066,I want to send money internationally,neutral
1067,It took too long to verify my account,negative
1068,The verification process is confusing,negative
1069,I want to send money internationally,neutral
1070,I want an easier way to transfer money,neutral
1071,I am trying this app for the first time,neutral
1072,Everything worked smoothly,positive
1073,I am trying this app for the first time,neutral
1074,Fast and simple onboarding,positive
1075,I want an easier way to transfer money,neutral
1076,The app was very easy to use,positive
1077,It took too long to verify my account,negative
1078,I am exploring different payment apps,neutral
1079,I signed up to manage my spending,neutral
1080,The instructions were unclear,negative
1081,I want an easier way to transfer money,neutral
1082,The app was very easy to use,positive
1083,I want to send money internationally,neutral
1084,The signup process was easy,positive
1085,The app was very easy to use,positive
1086,I want to send money internationally,neutral
1087,I want to send money internationally,neutral
1088,I signed up to manage my spending,neutral
1089,Verification was straightforward,positive
